Term	uk	features	countries	made	water	cities	man	landscape	towns	villages	townscapes	regions	adults	counties	inland	natural	transport	religious	military	continents	actions	groups	coasts	animals	seascapes	bridges	viaducts	mammals	motions	periods	postures	styles	ruins	weather	residential	fine	agriculture	fishing	named	landmarks	music	children	land	expressive	qualities	shakespeare	clothing	inscriptions	trees	day	effects	literature	times	personal	arts	phenomena	universal	public	domestic	industrial	imagery	classical	entertainment	containers	vessels	municipal	activities	recreational	nudes	individuals	emotions	human	london	ceremonial	astronomy	art	bible	gardening	functions	testament	myths	processes	social	design	works	weapons	furnishings	matter	printed	monuments	gods	reading	flowers	heroes	portraits	writing	plants	body	politics	scientific	concepts	garden	society	dress	structures	conditions	formal	diseases	birth	rank	commercial	death	royalty	birds	trading	old	measuring	machinery	tools	crafts	family	heating	drinking	lighting	eating	nations	relationships	sex	crime	punishment	places	comment	sport	aquatic	fish	fantastic	life	literary	service	ethnicity	miscellaneous	workspaces
universal	68	50	26	27	28	19	27	21	19	19	24	20	51	20	13	14	16	81	3	6	52	36	21	41	21	2	2	16	25	8	25	8	5	20	2	3	15	15	1	3	3	8	1	15	8	16	2	4	4	7	2	16	7	2	2	8	0	4	2	1	44	0	1	4	4	3	3	3	18	0	7	7	0	8	12	1	7	7	6	7	0	6	0	1	1	0	1	2	2	5	0	2	7	0	0	2	7	0	1	0	35	0	1	0	0	13	1	12	3	0	0	3	0	4	0	6	0	3	3	0	4	0	0	0	0	0	5	5	5	5	0	0	0	0	0	5	0	2	1	2	2	0
public	120	79	69	52	37	62	52	21	62	62	47	21	36	20	15	14	26	25	11	48	10	24	37	13	37	9	9	11	2	17	2	17	8	10	2	2	7	7	2	5	3	6	4	4	2	6	6	4	2	4	6	6	4	6	3	3	4	0	4	1	5	1	2	6	6	82	4	4	0	2	0	0	1	1	3	1	0	3	4	0	0	4	1	0	0	0	4	1	1	2	0	1	0	0	2	1	0	2	2	2	0	0	0	0	0	1	2	1	0	1	4	0	1	2	4	0	2	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	4	0	4	0
domestic	208	33	75	10	6	71	10	8	71	71	9	68	68	67	4	3	2	2	1	8	55	26	2	13	2	2	2	7	35	3	35	3	0	2	1	33	3	3	10	1	33	3	0	14	4	2	5	0	1	6	5	1	6	5	32	1	2	4	0	2	0	2	11	12	12	4	7	7	3	4	2	2	0	0	1	7	1	3	5	1	1	5	4	6	6	1	39	9	9	0	1	9	3	1	4	9	3	0	1	0	2	2	1	1	2	2	2	1	0	3	0	0	3	1	0	0	0	0	0	0	3	15	3	15	3	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
industrial	166	92	56	56	59	49	56	52	49	49	54	44	37	40	30	28	44	11	31	12	15	15	20	23	20	18	18	19	4	2	4	2	2	5	3	0	12	12	1	2	0	4	15	5	0	0	0	1	0	6	0	0	6	0	0	1	1	1	2	0	0	0	0	4	4	1	7	7	0	0	0	0	4	2	5	0	0	10	2	0	0	2	0	0	0	7	2	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	2	0	2	0	0	5	0	0	0	5	0	0	4	4	10	0	0	2	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0
imagery	26	35	13	16	11	10	16	23	10	10	14	7	50	7	10	14	2	98	0	6	66	34	17	29	17	2	2	7	32	7	32	7	3	10	1	4	4	4	3	2	3	5	1	22	11	34	2	5	3	4	2	34	4	2	3	14	44	5	0	0	0	2	0	0	0	3	2	2	23	2	11	11	0	4	8	1	11	2	8	11	2	8	0	1	1	1	0	2	2	4	1	2	2	1	0	2	2	1	2	0	9	0	0	0	0	13	0	10	2	0	0	2	0	2	0	7	0	4	4	0	3	0	0	0	0	0	2	2	11	11	0	0	0	0	0	6	0	11	2	0	3	0
classical	8	9	7	0	9	1	0	14	1	1	0	1	21	1	4	8	6	7	5	6	20	7	7	17	7	3	3	7	9	1	9	1	0	3	0	1	2	2	1	0	1	1	1	8	3	12	2	0	2	5	2	11	5	2	2	3	0	1	2	0	2	0	1	0	0	1	0	0	6	1	3	3	0	5	2	0	0	0	1	0	21	1	1	0	0	5	2	0	0	0	15	0	0	15	1	0	0	3	0	0	0	1	0	0	1	2	0	1	4	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	0	0	0	1	1	5	1	1	0	2	1	0
entertainment	79	36	39	21	13	33	21	14	33	33	20	21	37	18	9	5	7	11	11	19	21	22	3	10	3	2	2	7	12	12	12	12	4	0	2	23	2	2	6	1	45	8	3	6	6	3	2	0	1	1	2	2	1	2	34	0	1	2	11	0	0	1	0	4	4	1	8	8	1	4	6	6	2	1	4	4	0	1	2	0	1	2	1	2	2	2	6	2	2	0	1	2	2	1	4	2	2	0	3	0	2	3	2	1	3	3	0	1	2	1	4	2	1	2	4	0	0	1	1	0	3	3	4	3	4	1	2	2	2	2	15	0	0	0	0	0	0	2	1	2	0	0
containers	114	68	46	37	30	39	37	19	39	39	35	33	57	29	13	16	35	12	19	17	24	22	22	30	22	5	5	18	11	3	11	3	12	13	5	3	30	30	1	2	5	11	18	5	0	5	5	2	6	4	5	5	4	5	3	1	4	6	12	4	0	0	4	0	62	6	1	1	2	1	0	0	0	2	5	0	4	17	5	4	0	5	0	0	0	2	9	9	9	0	0	9	3	0	1	9	3	0	0	0	4	1	0	5	1	5	0	5	2	0	8	2	0	3	8	3	0	2	2	0	1	2	4	2	4	4	3	3	2	2	2	0	4	0	0	0	0	0	0	2	2	1
vessels	114	68	46	37	30	39	37	19	39	39	35	33	57	29	13	16	35	12	19	17	24	22	22	30	22	5	5	18	11	3	11	3	12	13	5	3	30	30	1	2	5	11	18	5	0	5	5	2	6	4	5	5	4	5	3	1	4	6	12	4	0	0	4	62	0	6	1	1	2	1	0	0	0	2	5	0	4	17	5	4	0	5	0	0	0	2	9	9	9	0	0	9	3	0	1	9	3	0	0	0	4	1	0	5	1	5	0	5	2	0	8	2	0	3	8	3	0	2	2	0	1	2	4	2	4	4	3	3	2	2	2	0	4	0	0	0	0	0	0	2	2	1
municipal	117	78	68	51	36	61	51	21	61	61	46	20	32	19	14	13	26	22	9	48	9	22	37	13	37	8	8	11	2	17	2	17	8	10	2	2	7	7	0	5	2	5	4	3	2	5	4	4	2	4	4	5	4	4	3	2	3	82	4	1	3	1	1	6	6	0	3	3	0	0	0	0	1	0	3	1	0	3	4	0	0	4	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	4	0	0	2	4	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
activities	134	43	47	26	48	34	26	36	34	34	23	40	47	37	33	21	25	14	26	7	33	28	6	34	6	5	5	19	13	7	13	7	6	5	6	8	0	0	4	3	15	24	10	10	5	7	5	0	1	2	5	7	2	5	9	4	3	4	7	7	2	0	8	1	1	3	0	61	0	2	5	5	3	2	7	1	0	0	5	0	0	5	1	0	0	4	6	5	5	0	0	5	5	0	2	5	5	1	1	2	1	6	1	1	6	1	0	1	1	1	1	1	1	9	1	0	1	0	0	0	5	3	1	3	1	0	2	2	1	1	0	0	2	0	0	0	0	0	1	1	3	0
recreational	134	43	47	26	48	34	26	36	34	34	23	40	47	37	33	21	25	14	26	7	33	28	6	34	6	5	5	19	13	7	13	7	6	5	6	8	0	0	4	3	15	24	10	10	5	7	5	0	1	2	5	7	2	5	9	4	3	4	7	7	2	0	8	1	1	3	61	0	0	2	5	5	3	2	7	1	0	0	5	0	0	5	1	0	0	4	6	5	5	0	0	5	5	0	2	5	5	1	1	2	1	6	1	1	6	1	0	1	1	1	1	1	1	9	1	0	1	0	0	0	5	3	1	3	1	0	2	2	1	1	0	0	2	0	0	0	0	0	1	1	3	0
nudes	10	18	5	10	12	4	10	19	4	4	10	3	49	3	12	7	1	32	3	2	68	16	10	34	10	0	0	6	34	1	34	1	2	7	0	4	8	8	4	0	3	3	1	16	14	23	4	2	1	2	4	22	2	4	4	7	18	0	3	0	23	6	1	2	2	0	0	0	0	3	12	12	0	1	9	1	7	4	11	7	5	11	2	1	1	2	3	2	2	0	5	2	3	5	1	2	3	4	1	1	10	2	1	0	2	14	2	14	5	2	0	5	2	3	0	6	0	2	2	0	1	0	0	0	0	0	5	5	13	13	0	0	0	0	0	7	0	4	0	3	1	0
individuals	10	6	6	4	0	6	4	9	6	6	4	4	27	2	0	2	2	8	10	4	17	6	0	4	0	0	0	3	8	2	8	2	0	3	0	4	1	1	28	0	4	2	2	6	4	4	7	2	1	0	7	4	0	7	6	2	0	2	4	0	2	1	4	1	1	0	2	2	3	0	4	4	0	2	0	1	0	1	3	0	0	3	8	1	1	4	3	2	2	0	0	2	1	0	21	2	1	3	3	1	1	1	3	3	1	1	0	1	0	8	0	0	8	0	0	0	0	0	0	0	2	1	0	1	0	2	0	0	1	1	0	0	1	0	0	0	0	3	2	1	0	0
emotions	33	18	10	7	11	9	7	15	9	9	7	9	25	8	6	12	6	15	11	1	39	9	9	11	9	0	0	2	15	0	15	0	1	8	0	5	1	1	4	0	9	5	1	15	27	12	3	0	1	2	3	11	2	3	7	6	7	0	2	0	11	3	6	0	0	0	5	5	12	4	0	27	1	1	4	0	5	1	6	5	3	6	2	0	0	2	1	1	1	0	3	1	0	3	1	1	0	0	2	1	6	1	2	0	1	8	0	7	3	1	1	3	1	1	1	3	0	0	0	0	4	1	0	1	0	0	5	5	7	7	0	1	0	0	0	3	0	4	0	3	1	0
human	33	18	10	7	11	9	7	15	9	9	7	9	25	8	6	12	6	15	11	1	39	9	9	11	9	0	0	2	15	0	15	0	1	8	0	5	1	1	4	0	9	5	1	15	27	12	3	0	1	2	3	11	2	3	7	6	7	0	2	0	11	3	6	0	0	0	5	5	12	4	27	0	1	1	4	0	5	1	6	5	3	6	2	0	0	2	1	1	1	0	3	1	0	3	1	1	0	0	2	1	6	1	2	0	1	8	0	7	3	1	1	3	1	1	1	3	0	0	0	0	4	1	0	1	0	0	5	5	7	7	0	1	0	0	0	3	0	4	0	3	1	0
london	114	57	43	22	41	0	22	16	0	0	22	43	14	0	31	29	13	6	2	0	4	11	0	5	0	16	16	4	1	2	1	2	0	2	10	2	1	1	0	0	3	3	3	1	2	0	1	0	4	0	1	0	0	1	3	1	0	1	0	4	0	0	2	0	0	1	3	3	0	0	1	1	0	0	0	1	0	0	2	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	4	1	0	4	0	1	0	2	0	3	2	0	1	3	0	0	4	4	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0
ceremonial	48	23	20	9	13	17	9	6	17	17	9	13	20	13	3	6	12	41	11	7	15	19	7	8	7	1	1	5	4	0	4	0	0	4	0	1	0	0	2	0	2	3	2	7	1	3	1	0	1	0	1	3	0	1	1	1	8	1	0	2	4	5	1	2	2	0	2	2	1	2	1	1	0	0	0	0	1	0	4	1	2	4	1	0	0	5	3	4	4	0	2	4	0	2	0	4	0	1	3	1	4	0	2	1	0	3	0	3	1	1	2	1	1	0	2	0	0	0	0	0	0	1	3	1	3	0	2	2	1	1	0	0	0	1	1	0	1	0	1	2	0	0
astronomy	98	61	44	26	45	30	26	38	30	30	26	25	39	25	31	22	19	15	21	19	30	15	21	27	21	8	8	16	15	10	15	10	7	12	11	6	9	9	1	0	9	9	5	10	5	20	1	0	9	30	1	20	30	1	5	4	12	3	1	5	8	2	4	5	5	3	7	7	9	0	4	4	0	0	0	2	6	5	0	6	1	0	0	1	1	0	0	2	2	1	1	2	5	1	0	2	5	1	0	3	7	7	0	0	7	5	1	4	4	0	0	4	0	4	0	5	3	1	1	1	3	0	0	0	0	0	5	5	1	1	0	0	0	0	0	0	0	1	0	2	0	0
art	30	9	12	0	3	11	0	2	11	11	0	9	13	8	2	1	1	4	1	3	7	2	1	1	1	0	0	1	5	1	5	1	0	1	1	23	0	0	15	0	9	1	0	2	0	1	2	2	0	2	2	1	2	2	13	0	1	1	7	0	1	0	4	0	0	1	1	1	1	1	0	0	1	0	2	0	1	0	0	1	0	0	2	14	14	0	4	1	1	1	0	1	2	0	1	1	2	0	0	0	1	1	0	0	1	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
bible	0	10	0	8	1	0	8	8	0	0	8	0	16	0	1	0	1	13	0	0	21	7	6	12	6	0	0	4	9	0	9	0	2	5	0	4	1	1	1	0	3	6	1	9	5	7	2	1	4	3	2	7	3	2	3	0	7	0	1	0	11	0	0	4	4	0	0	0	7	0	5	5	0	1	6	1	0	1	1	22	0	1	0	1	1	1	0	2	2	0	0	2	1	0	0	2	1	1	0	0	3	0	0	0	0	4	0	4	5	0	0	5	0	2	0	11	0	0	0	0	5	0	0	0	0	0	1	1	2	2	0	0	0	0	0	1	0	1	0	2	0	0
gardening	101	49	32	33	20	28	33	27	28	28	31	30	43	29	9	13	31	18	18	3	10	10	22	34	22	9	9	28	8	8	8	8	9	13	2	1	70	70	1	2	2	5	20	1	1	1	2	1	1	0	2	1	0	2	1	0	7	3	3	10	2	0	1	17	17	3	0	0	4	1	1	1	0	0	5	0	1	0	1	1	0	1	0	0	0	7	2	8	8	0	0	8	3	0	1	8	3	0	0	0	5	1	0	1	1	1	0	1	1	0	0	1	0	1	0	1	0	2	2	8	1	1	0	1	0	1	3	3	3	3	0	0	6	1	1	1	1	0	0	0	0	3
functions	36	26	16	13	10	12	13	15	12	12	13	10	34	8	6	10	11	22	11	6	62	19	4	24	4	1	1	11	15	5	15	5	0	4	1	1	1	1	3	0	2	9	7	10	6	12	8	0	1	0	8	11	0	8	2	6	6	4	5	2	8	1	2	5	5	4	5	5	11	3	6	6	2	4	0	0	1	1	0	1	0	34	2	0	0	1	9	1	1	0	0	1	0	0	2	1	0	4	1	4	4	0	1	0	0	7	0	7	1	2	5	1	2	0	5	0	3	5	5	0	1	1	2	1	2	0	4	4	5	5	0	0	0	0	0	3	0	1	0	3	2	0
testament	0	10	0	8	1	0	8	8	0	0	8	0	16	0	1	0	1	13	0	0	21	7	6	12	6	0	0	4	9	0	9	0	2	5	0	4	1	1	1	0	3	6	1	9	5	7	2	1	4	3	2	7	3	2	3	0	7	0	1	0	11	0	0	4	4	0	0	0	7	0	5	5	0	1	6	1	22	1	1	0	0	1	0	1	1	1	0	2	2	0	0	2	1	0	0	2	1	1	0	0	3	0	0	0	0	4	0	4	5	0	0	5	0	2	0	11	0	0	0	0	5	0	0	0	0	0	1	1	2	2	0	0	0	0	0	1	0	1	0	2	0	0
myths	0	4	1	0	6	0	0	7	0	0	0	0	13	0	2	2	4	4	0	1	12	2	6	9	6	0	0	2	6	0	6	0	0	2	0	1	1	1	0	0	1	1	0	5	3	5	1	0	1	3	1	4	3	1	2	2	0	0	1	0	2	21	1	0	0	0	0	0	5	0	3	3	0	2	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	13	0	0	13	0	0	0	1	0	0	0	1	0	0	1	2	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	4	1	1	0	0	1	0
processes	36	26	16	13	10	12	13	15	12	12	13	10	34	8	6	10	11	22	11	6	62	19	4	24	4	1	1	11	15	5	15	5	0	4	1	1	1	1	3	0	2	9	7	10	6	12	8	0	1	0	8	11	0	8	2	6	6	4	5	2	8	1	2	5	5	4	5	5	11	3	6	6	2	4	0	0	1	1	34	1	0	0	2	0	0	1	9	1	1	0	0	1	0	0	2	1	0	4	1	4	4	0	1	0	0	7	0	7	1	2	5	1	2	0	5	0	3	5	5	0	1	1	2	1	2	0	4	4	5	5	0	0	0	0	0	3	0	1	0	3	2	0
social	4	3	2	1	0	2	1	0	2	2	1	1	17	1	0	0	0	2	3	1	10	3	0	4	0	0	0	2	4	1	4	1	0	0	0	3	0	0	10	0	1	2	0	4	2	2	5	2	1	0	5	2	0	5	2	0	0	1	4	0	0	1	1	0	0	0	1	1	2	8	2	2	0	1	0	2	0	0	2	0	0	2	0	2	2	1	2	3	3	0	0	3	0	0	7	3	0	6	3	1	0	2	3	0	2	0	0	0	0	11	0	0	11	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	2	0	0
design	23	6	9	0	1	9	0	0	9	9	0	7	9	7	0	0	1	3	0	2	4	1	1	1	1	0	0	1	3	0	3	0	0	0	0	18	0	0	14	0	5	0	0	1	0	0	1	2	0	1	1	0	1	1	7	0	1	0	6	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0	1	14	1	0	0	1	0	0	2	0	13	0	4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
works	23	6	9	0	1	9	0	0	9	9	0	7	9	7	0	0	1	3	0	2	4	1	1	1	1	0	0	1	3	0	3	0	0	0	0	18	0	0	14	0	5	0	0	1	0	0	1	2	0	1	1	0	1	1	7	0	1	0	6	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0	1	14	1	0	0	1	0	0	2	13	0	0	4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
weapons	55	31	23	15	14	15	15	20	15	15	14	13	27	13	3	13	22	8	29	10	16	13	9	23	9	10	10	17	6	0	6	0	3	1	0	3	7	7	4	1	4	2	11	9	2	8	7	3	2	2	7	7	2	7	3	0	0	0	1	7	1	5	2	2	2	0	4	4	2	4	2	2	0	5	0	0	1	7	1	1	2	1	1	0	0	0	1	3	3	0	2	3	4	2	0	3	4	2	1	1	1	0	1	0	0	1	0	1	2	1	1	2	1	2	1	1	0	0	0	7	1	0	1	0	1	0	2	2	1	1	1	0	0	1	1	0	1	1	0	3	0	0
furnishings	126	24	43	8	6	41	8	4	41	41	8	41	38	40	3	4	6	9	6	2	45	10	2	12	2	0	0	10	25	4	25	4	0	0	0	23	2	2	7	0	22	4	3	10	2	2	6	0	0	2	6	1	2	6	21	1	1	4	39	2	0	2	6	9	9	3	6	6	3	3	1	1	1	3	0	4	0	2	9	0	1	9	2	4	4	1	0	8	8	1	1	8	1	1	3	8	1	0	1	3	1	0	0	0	0	4	1	4	0	1	6	0	1	1	6	0	2	0	0	0	1	10	4	10	4	0	2	2	0	0	1	1	1	0	0	0	0	0	1	1	2	0
matter	43	14	15	11	4	15	11	3	15	15	11	14	21	14	2	0	11	12	4	1	13	6	8	6	8	0	0	4	7	0	7	0	0	7	0	5	15	15	2	0	6	3	9	5	1	2	3	0	2	1	3	2	1	3	6	0	2	1	9	0	2	0	2	9	9	0	5	5	2	2	1	1	0	4	2	1	2	8	1	2	0	1	3	0	0	3	8	0	25	0	0	25	2	0	1	25	2	1	3	1	2	0	2	1	0	3	0	2	0	2	0	0	2	0	0	2	0	0	0	0	2	4	2	4	2	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	0
printed	43	14	15	11	4	15	11	3	15	15	11	14	21	14	2	0	11	12	4	1	13	6	8	6	8	0	0	4	7	0	7	0	0	7	0	5	15	15	2	0	6	3	9	5	1	2	3	0	2	1	3	2	1	3	6	0	2	1	9	0	2	0	2	9	9	0	5	5	2	2	1	1	0	4	2	1	2	8	1	2	0	1	3	0	0	3	8	25	0	0	0	25	2	0	1	25	2	1	3	1	2	0	2	1	0	3	0	2	0	2	0	0	2	0	0	2	0	0	0	0	2	4	2	4	2	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	0
monuments	54	40	34	26	14	24	26	18	24	24	20	10	13	8	8	7	6	17	0	24	1	8	2	9	2	8	8	7	1	12	1	12	7	6	2	3	0	0	1	6	2	0	0	0	0	8	0	4	3	2	0	8	2	0	2	3	5	2	0	0	4	0	0	0	0	2	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	1	0	1	1	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
gods	0	4	1	0	4	0	0	3	0	0	0	0	10	0	1	2	3	3	0	1	9	2	5	3	5	0	0	0	5	0	5	0	0	1	0	1	0	0	0	0	1	1	0	4	3	3	1	0	1	2	1	2	2	1	2	2	0	0	1	0	1	15	1	0	0	0	0	0	5	0	3	3	0	2	1	0	0	0	0	0	13	0	0	0	0	2	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	1	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	0
reading	43	14	15	11	4	15	11	3	15	15	11	14	21	14	2	0	11	12	4	1	13	6	8	6	8	0	0	4	7	0	7	0	0	7	0	5	15	15	2	0	6	3	9	5	1	2	3	0	2	1	3	2	1	3	6	0	2	1	9	0	2	0	2	9	9	0	5	5	2	2	1	1	0	4	2	1	2	8	1	2	0	1	3	0	0	3	8	25	25	0	0	0	2	0	1	25	2	1	3	1	2	0	2	1	0	3	0	2	0	2	0	0	2	0	0	2	0	0	0	0	2	4	2	4	2	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	0
flowers	43	16	17	9	6	15	9	21	15	15	9	14	17	13	6	3	4	9	5	4	8	7	2	12	2	0	0	9	5	1	5	1	3	1	4	6	7	7	4	0	5	2	4	1	0	6	1	1	4	6	1	6	6	1	7	1	7	0	3	1	2	0	2	3	3	0	5	5	3	1	0	0	0	0	5	2	1	3	0	1	0	0	0	1	1	4	1	2	2	1	0	2	0	0	1	2	34	0	0	3	6	3	0	2	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	1	1	3	3	0	0	0	0	0	0	0	1	0	2	0	0	0	0
heroes	0	4	1	0	4	0	0	3	0	0	0	0	10	0	1	2	3	3	0	1	9	2	5	3	5	0	0	0	5	0	5	0	0	1	0	1	0	0	0	0	1	1	0	4	3	3	1	0	1	2	1	2	2	1	2	2	0	0	1	0	1	15	1	0	0	0	0	0	5	0	3	3	0	2	1	0	0	0	0	0	13	0	0	0	0	2	1	0	0	0	12	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	0
portraits	6	2	2	1	0	2	1	4	2	2	1	4	21	2	0	1	1	2	2	0	10	2	0	1	0	0	0	1	6	2	6	2	0	2	0	4	1	1	22	0	4	1	1	2	1	0	6	0	0	0	6	0	0	6	6	1	0	2	4	0	0	1	4	1	1	0	2	2	1	21	1	1	0	0	0	1	0	1	2	0	0	2	7	1	1	0	3	1	1	0	0	1	1	0	0	1	1	3	2	0	0	1	2	3	1	0	0	0	0	7	0	0	7	0	0	0	0	0	0	0	2	1	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0
writing	43	14	15	11	4	15	11	3	15	15	11	14	21	14	2	0	11	12	4	1	13	6	8	6	8	0	0	4	7	0	7	0	0	7	0	5	15	15	2	0	6	3	9	5	1	2	3	0	2	1	3	2	1	3	6	0	2	1	9	0	2	0	2	9	9	0	5	5	2	2	1	1	0	4	2	1	2	8	1	2	0	1	3	0	0	3	8	25	25	0	0	25	2	0	1	0	2	1	3	1	2	0	2	1	0	3	0	2	0	2	0	0	2	0	0	2	0	0	0	0	2	4	2	4	2	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	0
plants	43	16	17	9	6	15	9	21	15	15	9	14	17	13	6	3	4	9	5	4	8	7	2	12	2	0	0	9	5	1	5	1	3	1	4	6	7	7	4	0	5	2	4	1	0	6	1	1	4	6	1	6	6	1	7	1	7	0	3	1	2	0	2	3	3	0	5	5	3	1	0	0	0	0	5	2	1	3	0	1	0	0	0	1	1	4	1	2	2	1	0	2	34	0	1	2	0	0	0	3	6	3	0	2	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	1	1	3	3	0	0	0	0	0	0	0	1	0	2	0	0	0	0
body	10	9	7	3	3	3	3	10	3	3	3	2	50	1	2	5	2	8	4	6	9	8	3	8	3	2	2	6	3	2	3	2	0	2	0	0	0	0	3	0	0	4	1	2	4	8	6	16	0	0	6	8	0	6	0	0	0	2	0	0	1	3	0	0	0	2	1	1	4	3	0	0	0	1	1	0	1	0	4	1	1	4	6	0	0	2	0	1	1	1	0	1	0	0	3	1	0	0	0	0	0	0	0	1	0	2	4	2	5	1	0	5	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	5	0	0	0	1	0	0	0	2	0	0
politics	15	9	6	5	3	5	5	2	5	5	5	4	9	3	2	3	2	8	4	2	7	7	1	2	1	2	2	1	3	1	3	1	0	0	0	1	0	0	3	0	4	2	1	3	2	1	2	0	1	1	2	1	1	2	1	1	1	2	1	0	2	0	3	0	0	0	1	1	1	3	2	2	1	3	0	0	0	0	1	0	0	1	3	0	0	1	1	3	3	0	0	3	0	0	2	3	0	0	0	1	0	0	7	0	0	1	0	1	1	2	0	1	2	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	2	2	2	1	0
scientific	16	13	12	6	0	10	6	8	10	10	6	3	9	2	0	0	0	10	3	9	9	7	0	3	0	0	0	2	3	2	3	2	0	0	4	1	0	0	1	0	1	4	0	2	2	7	4	1	3	3	4	7	3	4	1	0	0	2	0	0	0	0	0	0	0	2	2	2	1	1	1	1	1	1	3	0	0	0	4	0	0	4	1	0	0	1	3	1	1	1	0	1	3	0	0	1	3	0	1	0	0	4	1	0	4	0	1	0	0	1	2	0	1	0	2	0	12	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	2	0
concepts	42	23	13	14	22	9	14	17	9	9	13	13	29	13	8	9	15	22	3	0	31	14	15	31	15	1	1	11	14	1	14	1	2	19	1	1	11	11	1	1	2	3	1	7	7	10	1	0	3	4	1	10	4	1	2	3	35	0	2	1	9	0	2	4	4	0	1	1	10	1	6	6	0	4	7	1	3	5	4	3	0	4	0	0	0	1	1	2	2	1	0	2	6	0	0	2	6	0	0	0	0	0	1	0	0	9	1	8	3	0	0	3	0	2	0	3	0	1	1	0	1	0	1	0	1	0	3	3	3	3	0	0	0	0	0	6	0	2	0	2	1	0
garden	164	35	65	11	42	57	11	50	57	57	11	52	21	46	36	7	6	2	10	14	5	8	0	8	0	6	6	3	4	14	4	14	2	0	17	12	1	1	2	0	13	0	0	1	1	9	2	1	9	5	2	8	5	2	12	1	0	0	2	0	0	1	3	1	1	0	6	6	2	1	1	1	4	0	7	1	0	1	0	0	1	0	2	1	1	0	0	0	0	0	1	0	3	1	1	0	3	0	0	4	0	0	0	1	75	1	0	0	0	2	0	0	2	5	0	0	4	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
society	16	9	6	4	4	5	4	3	5	5	4	4	7	3	2	3	3	5	4	2	6	5	1	2	1	1	1	1	3	1	3	1	0	0	0	1	0	0	3	0	3	1	1	2	2	0	2	0	1	1	2	0	1	2	1	0	1	0	1	1	0	0	2	0	0	0	1	1	1	3	2	2	1	2	0	0	0	0	1	0	0	1	3	0	0	1	0	2	2	0	0	2	0	0	2	2	0	0	7	1	1	0	0	0	0	0	0	0	1	2	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	0
